"IDIngredienteReceta";"IDReceta";"IDIngrediente";"Cantidad";"IDUnidad";"Observación"
853;103;109;1,00;11;
854;104;209;8,00;7;
855;104;42;0,25;6;
856;104;38;2,00;2;
857;104;217;2,00;2;
859;104;219;0,25;6;
861;104;220;2,00;7;"Opcional, picado finamente"
862;104;25;2,00;7;"Picado finamente"
863;104;48;1,00;2;"Pelado, rallado"
865;104;221;0,50;1;
866;105;222;400,00;3;
867;105;11;3,00;2;
868;105;28;4,00;2;"Exprimido"
869;105;22;2,00;2;
870;105;35;200,00;3;
871;105;107;2,00;2;"Picado, para decorar"
872;105;1;1,00;11;
873;105;109;1,00;11;
874;106;223;12,00;7;"Para horno"
875;106;4;3,00;2;
876;106;112;500,00;3;"La carne, cruda y picada"
877;106;99;1,00;7;"Picada fino"
878;106;107;2,00;2;"Picado fino"
879;106;224;1,00;2;"Fresco u orégano seco"
880;106;117;1,00;1;"O inglesa"
881;106;10;1,00;7;"Algo batido"
883;106;225;90,00;3;"O ricota"
884;106;109;1,00;11;
885;107;8;400,00;3;
886;107;10;1,00;7;
887;107;4;1,00;2;
888;107;12;200,00;9;"Tibia"
889;107;1;0,50;1;
890;107;7;1,00;8;"Para espolvorear"
891;107;3;1,00;8;"Para untar las placas"
892;107;210;600,00;3;"Para el relleno"
893;107;99;2,00;7;"Para el relleno, picada"
894;107;107;0,50;6;"Para el relleno, picado"
895;107;61;3,00;7;"Para el relleno, picados"
896;107;28;1,00;7;"Para el relleno, exprimido"
897;107;170;0,50;1;"Para el relleno"
898;107;1;1,00;11;"Para el relleno"
899;108;209;6,00;7;
900;108;57;0,50;6;
901;108;21;0,50;15;"Caliente"
902;108;11;1,00;2;
903;108;67;1,00;1;
904;108;1;1,00;11;
905;108;109;1,00;11;
906;108;14;2,00;7;
907;108;10;3,00;7;
908;108;113;250,00;3;
909;109;226;1,00;4;
910;109;18;1,50;4;"Aproximadamente"
911;110;48;300,00;3;"Fresco"
