"IDReceta";"Receta";"Preparacion";"Porciones";"IDCategoria";"IDCocina";"IDComplejidad";"Sugerencia";"IDRendimiento"
804;"Callos a la Madrileña";"Limpiamos bien los callos y los cortamos en trozos cuadrados de 2x2 cm aproximadamente, para que después de su cocción puedan ser tamaño bocado.

Una vez limpios, los ponemos a cocer con una hoja de laurel y un buen puñado de sal, agregando también la panceta o carne de jamón o lacón y las especias para callos. Dejamos que los callos se hagan durante 4 horas en cacerola tradicional o 45 minutos si usáis olla rápida. Una vez estén cocinados, los escurrimos y reservamos el agua de la cocción que será espesa y cargada de gelatina..

Cuando falte una hora para terminar la cocción tradicional, agregamos el chorizo y la morcilla, que habremos semicocido aparte. Al integrarlos ahora, dejando que se terminen de hacer con los demás ingredientes evitaremos que se reviente la morcilla o que la receta nos quedase demasiado cargada de la grasa del chorizo.

Preparamos una salsa pochando dos dientes de ajo con la cebolla muy picada y una guindilla para que los callos tengan un puntito picante. Entonces agregamos una cucharada de salsa de tomate, los callos cocidos, los chorizos y morcillas troceados. También vamos incorporando poco a poco, el caldo de la cocción. Terminamos dejando hervir el conjunto durante 20 minutos hasta que adquiera cremosidad y llegue a una textura deseada.";6,00;2;4;4;"Con qué acompañar la receta de callos a la madrileña
Se puede añadir unos garbanzos ya cocidos a la hora de servir
Los callos a la madrileña piden sobre todo pan, un buen pan para disfrutar de la salsa. Por otra parte, os aconsejamos que preparéis los callos a la madrileña un día para comerlos al día siguiente, cuando los sabores se habrán asentado e intensificado.";2
805;"Arroz a la Valenciana";"Calentar la sarten con 1/4 taza de aceite, dorar las presas de pollo de ambos lados. Retirar y dejar a un lado.
En la misma sarten colocar la cebolla y dorar hasta que esté transparente., añadir el tomate, cúrcuma, pimentón, orégano, saly pmienta, dejar cocer hasta que esté todo bien mezclado.
En una olla poner el caldo de pollo, una vez hirviendo, echar las presas de pollo, dejar que viuelva a hervir, y agregar el ahogado, dejar cocer unos 20 minutos, añadir el arroz. A los 10 minutos de que esté cciendo el arroz, agregar las arvejas y luego el chorizo. Dejar unos 10m más hasta que las arvejas y el arroz estén en su punto.
Servir 2 presas en cada plato. Decorar con perejil.";8,00;17;4;4;;2
806;"Crema catalana quemada casera";"Pasos	 - 15 minutos
Pondremos un vaso de leche en un bol junto con la harina de maíz y removeremos para que se disuelva la maicena.
Añadiremos las 8 yemas de huevo y el azúcar. Batiremos bien para que se mezclen todos los ingredientes.
Pondremos a calentar con el fuego bajo y en un cazo ancho el resto de la leche y le añadiremos las ramas de canela y la piel del limón.
Cuando empiece a hervir la leche pararemos el fuego y sacaremos las ramas de canela y la piel del limón.
Añadiremos a la leche la mezcla de los huevos y el azúcar. Removeremos para que se mezclen los ingredientes.
Encendemos de nuevo el fuego y lo pondremos al mínimo. Continuaremos batiendo la mezcla sin parar para que no se pegue, hasta que empiece a hervir de nuevo y vaya espesando.
Cuando hierva apagaremos el fuego y pondremos la crema en recipientes individuales de barro o bien en una fuente. Dejaremos enfriar.
En el momento de servir la crema catalana, pondremos azúcar por encima y lo quemaremos con un quemador o una pala de quemar hasta que el azúcar quede caramelizado.";6,00;11;4;3;;2
807;"Banderilla de tomate cherry y queso";"Lava y corta los tomates por la mitad.

Corta el queso en pociones y pon un trozo entre cada 2 mitades de tomate. Pínchalos con un palillo de brocheta.

Sazona, riégalos con un chorrito de aceite y espolvoréalos con el orégano.";4,00;26;4;3;;2
808;"Aceitunas aliñadas Varias";"Si lo que queremos es aliñar aceitunas que hemos comprado podemos utilizar su propia salmuera añadiendo especias que les darán un toque irresistible.

Si por lo que sea hemos comprado unas aceitunas que nos resultan muy saladas, podemos cambiar la salmuera enjuagándolas bien y haciendo nuestra propia salmuera calculando una cucharadita de sal para la cantidad de agua que nos hace falta para cubrir 250 g de aceitunas.

Aliño clásico para aceitunas
4 dientes de ajo pelados y ligeramente aplastados
1 rama de tomillo
1 rama de romero
3 o 4 ramitas de hinojo

Aliño castellano para aceitunas
1 rama de tomillo o 1 cucharada de tomillo seco
1 rama de romero o 1 cucharada de romero seco
1 cucharada de pimentón de La Vera

Aliñar aceitunas verdes con limón y ajo
½ limón cortado en trozos
1 cucharada de orégano seco
4 dientes de ajo pelados y aplastados
1 hoja de laurel

Aliño picante de naranja
Va genial para aliñar aceitunas negras.

50 ml de aceite de oliva virgen extra
1 trozo de cáscara de naranja de unos 5 cm sin lo blanco y preferiblemente seca
1 guindilla seca cortada en aros, o solo un trocito si no queréis que pique mucho
1 cucharada de tomillo seco";250,00;26;4;3;;9
809;"Pan de Cerveza";"Mezclar la harina, la sal y el aceite hasta obtener una consistencia parecida al pan rallado. Hacer un hoyo en el centro y verter el huevo.
Disolver el azúcar en la cerveza y agregarle la levadura desmenuzada. Mezclar bien hasta homogeneizar.
Verter esta mezcla en el hoyo de la harina y trabajar la masa durante 10 minutos.
Cubrirla con un paño húmedo y dejarla reposar en lugar cálido durante 40 minutos, amazando una vez a mitad del tiempo.
Al terminar la fermentación, trabajar un poco la masa y colocarla en moldes tipo barra bien engrasados. Dejar levar en ambiente húmedo y cálido hasta que duplique su volumen.
Cocinar en horno a 250ºC durante 45 a 50 minutos. 
Enfriar en una rejilla";2,00;7;16;3;"Pintar la superficie con manteca derretida apenas sale del horno.";3
811;"Arroz con lecheII";"Pondremos un cazo al fuego y le añadimos la leche, la piel del limón, la canela en rama y el azúcar.
Cuando empiece a hervir le añadiremos de golpe todo el arroz y removeremos con una cuchara de madera para que el arroz no se pegue. 
Iremos removiendo durante toda la cocción y así evitaremos que se pegue.
Lo coceremos a fuego lento durante 40 minutos aproximadamente. 
Pararemos el fuego y sacaremos con cuidado la canela en rama y la piel del limón.
Añadiremos la mantequilla cortada en trozos pequeños.
Lo mezclaremos bien para que quede más cremoso y lo dejaremos reposar durante 5 minutos.
Emplataremos y dejaremos enfriar. Una vez frío lo guardaremos en el frigorífico. 
Cuando lo vayamos a servir pondremos por encima la canela molida.";6,00;11;4;2;;2
812;"Jamón de cerdo agridulce";"1 Pon una cacerola con agua a hervir. Cuando rompa el primer hervor, ponemos el trozo de jamón de cerdo fresco y la dejamos 2 ó 3 minutos, lo imprescindible para escaldar el jamón de cerdo.
2 Apartamos la pieza y la ponemos en la olla rápida. Rocía ahora la carne con el vino y el agua. Tapa la olla rápida, ponla al fuego y en cuanto nos avise el vapor, le contamos veinte minutos de cocción.
3 Transcurrido ese tiempo, quitamos la olla del fuego y dejamos que salga todo el vapor. Abrimos y ponemos el jamón de cerdo en una fuente refractaria.
4 Hazle unas incisiones superficiales al jamón por encima, formando una rejilla. Rocía toda la superficie con azúcar y, a continuación, riega con el caldo en que se ha cocinado la carne.
5 Metemos el jamón de cerdo en el horno precalentado a 195ºC y lo dejamos una media hora de asado, cuidando de ir rociando la pieza con la salsa.
6 A la hora de servirla solo tendremos que laminarla y acompañarla con la guarnición que nos resulte más oportuna.";4,00;15;9;4;;2
813;"Peceto en olla al vino blanco";"-En una olla, derretir la manteca y agregar los champiñones previamente lavados y fileteados.
-Cuando los champiñones estén tiernos, reservarlos en un bowl.
-En la misma olla, sellar el peceto (cocinar a fuego fuerte durante 1min cada lado de la carne), agregando un poco de manteca o aceite si fuera necesario
-Agregar los champiñones y la cebolla picada muy chico
-Agregar el vino blanco, salpimentar y esperar que rompa el 1er hervor y bajar a fuego mínimo
-Tapar la olla y cocinar durante 20min, verificando de vez en cuando que queda líquido en la cacerola.
-Una vez ese tiempo transcurrido, agregar los papines (o las papas cortadas al medio) previamente lavados
-Volver a tapar la olla y cocinar unos 20 minutos, verificando la cocción de vez en cuando
-Las papas deben estar tiernas, si aún les falta, cocinar hasta que estén a punto
-Servir inmediatamente";4,00;15;9;3;"Si queda poco líquido, pueden agregar vino blanco, caldo de carne o agua";2
814;"Pollo al curry express";"Limpiamos la pechuga de pollo de grasa y la troceamos en dados de un par de centímetros máximo.
Pelamos y picamos la cebolleta y los dientes de ajo muy finamente. Pelamos y picamos también el jengibre fresco.
Quitamos las semillas a la cayena o chile y la picamos muy fina. Cuidado con este tema, os aconsejo guantes porque si luego os frotáis los ojos u otras partes os vais a acordar de la cayena.
Calentamos unas cucharadas de aceite de oliva virgen extra o aceite de girasol en una sartén. Añadimos la cebolleta finamente picada, queremos que se nos deshagan en la cocción, al final no notaremos su textura pero sí su sabor dulce.
Salamos al gusto para que sude y la dejamos al fuego hasta que la cebolleta se ponga traslucida (transparente). Una vez pochada la cebolla añadimos el ajo, el jengibre y la cayena. Removemos y echamos también el tomate triturado.
Pasados un par de minutos incorporamos las especias y volvemos a remover.
Añadimos el pollo y salpimentamos. Removemos y doramos los trozos de pollo por todos lados.
Cubrimos con la leche de coco y dejamos que reduzca pero dejando salsa. No queremos el pollo seco. Cuando veamos que la salsa empieza a espesar ponemos el fuego al mínimo.
Mientras hacemos el curry podemos hacer al mimo tiempo un arroz basmati que nos refrescará el paladar mientras comemos el curry. Es opcional, también puede ir otro tipo de arroz, mejor siempre blanco. Os llevará el mismo tiempo que preparar el curry de pollo express.
Servimos bien caliente decorado con cilantro fresco picado por encima. 
Si optamos por hacer arroz, lo acompañamos recién hecho junto al pollo al curry en el mismo plato. Os aconsejo empujar este pollo al curry con pan de pita o pan Hindú Naan.";4,00;24;30;4;;2
815;"Berenjenas en escabeche tradicional";"Lavar, secar muy bien las berenjenas y cortalas en rodajas de 1 cm aprox.
Colocar las rodajas de berenjenas en un colador de pastas, formando capas alternadas con sal gruesa. No exagerar el empleo de sal gruesa para evitar que queden muy saladas. El colador de pasta se debe colocar sobre un recipiente para que en él caiga el líquido amargo de las beranjenas.
Reservar las berenjenas tres o cuatro horas aproximadamente, hasta que despidan el líquido amargo.
Quitar la sal gruesa a las rodajas de berenjenas.
Hervir el vinagre con el agua, ir agregando las berenjenas poco a poco y dejarlas cocinar durante 1 minuto, aproximadamente, hasta que estén tiernas en el centro pero permanezcan firmes.
Retirar las berenjenas, escurrirlas bien y colocarlas en una bandeja.
Cortar los dientes de ajo en láminas y reservar.
Colocar las berenjenas dentro de un recipiente de cristal (un frasco por ejemplo) alternando con el ajo, el orégano, el laurel, y la pimienta.
Añadir el aceite cubriendo por completo las berenjenas.
Tapar el recipiente y guardar en la nevera dejando macerar el mayor tiempo posible antes de consumir (mínimo una semana y lo ideal un mes).
Servir acompañando carnes asadas, a la plancha, o como entrante con rodajitas de pan o tostadas, o en bocadillos.";10,00;8;9;3;;2
816;"Cerdo a la cerveza";"1. Partimos sazonando el lomo  con sal y pimienta y lo colocamos en una olla. Incorporamos la cerveza, la cebolla y las hierbas aromáticas. Hervimos a fuego medio y cocinamos hasta que se evapore la cerveza y la carne esté tierna.
2. Luego retiramos la carne de la olla y  la pasamos por azúcar rubia,  haciendo que ésta se adhiera por todo el lomo de cerdo.
3. Acomodamos el lomo de cerdo en una asadera y llevamos al horno precalentado a  190ºC. El objetivo de este proceso es que se  caramelice el azúcar.
4. Para finalizar, retiramos del horno, acomodamos en una fuente ¡y ya está listo tu Lomo de cerdo a la cerveza!";6,00;15;9;3;"Puedes acompañarlo con verduras  salteadas en mantequilla y disfrutarás aún más el sabor de este platillo.";2
817;"Paella de pollo Valenciana";"Picar la verdura, es decir, la media cebolla, los tres dientes de ajo, los dos tomates naturales y el pimiento de freír; éste puede ser verde o rojo, según nos guste más. Por otra parte, también debemos trocear la carne de pollo, tanto la pechuga como los traseros; también podemos comprarla ya partida o pedirlo previamente en la carnicería.
Encendemos el fuego, colocamos el recipiente para que coja la base un poco de calor y vertemos un poco de sal para que el arroz no se nos pegue más adelante y unas tres cucharadas de aceite de oliva. 
Primero vertemos el pimiento ya que es la verdura que más tarda en hacerse; cuando esté dorado, juntamos la cebolla, después el ajo y por último el tomate. 
Justo después, añadimos la carne y dejamos que se vaya dorando junto con la verdura. Vamos removiendo todo para que el pollo coja el sabor del resto de ingredientes y se vaya dorando por partes iguales.
Cuando consideremos que la verdura y carne están prácticamente sofritas, echaremos el arroz, el agua y el sobre de colorante. 
¿Cómo calcular las medidas? Hemos puesto al principio unos 500 gramos para unas 4 o 6 personas, ya que suelen calcularse unos 100 o 125 gramos de arroz por comensal. 
Por lo que si sois más o sólo sois 2 o 3 personas, puedas calcular la cantidad de forma individual y multiplicándolo por el número de personas que seréis. Con respecto al agua, debe ser siempre el doble de la cantidad de arroz usada; es decir, si finalmente echas dos vasos de arroz, deberás verter cuatro de agua.
Repartiremos el arroz por toda la base del recipiente con ayuda de una cuchara para que los ingredientes de esta paella de carne queden bien distribuídos, salaremos el agua y espolvorearemos el sobre de colorante para paella. Hay que tener en cuenta que el agua debe estar nivelada correctamente para que no haya zonas que no se cuezan de la misma manera. 
Para saber el grado de sal, lo mejor es ir probando poco a poco hasta dar con el punto exacto.
Durante los primeros 5 o 7 minutos pondremos el fuego fuerte y después lo bajaremos a fuego medio hasta que el agua se consuma totalmente. 
Te recomendamos volver a probarlo, en esta ocasión para comprobar el grado de dureza del grano de arroz. 
También muy importante es que antes de servir lo dejemos reposar varios minutos fuera del fuego y con paño seco y limpio por encima. 

Un consejo:
Para que la paella de pollo quede perfecta, con los granos de arroz sueltos, sin pegarse unos a otros, es fundamental que despues de echar el arroz y repartirlo por el recipiente, no se remueva hasta el final. 
Esto es porque el arroz contiene almidón, que es un aglutinante. Cuando removemos el arroz durante la cocción hacemos que el almidón se desprenda y haga que los granos se peguen unos a otros.";6,00;17;4;3;;2
818;"Musaka";"Berenjenas y tomate. Antes de empezar a cocinar

1.	Cortamos las berenjenas en rodajas de unos 6-8 mm de grosor. No cortarlas muy finas.
2.	Las ponemos en un recipiente y les echamos sal en abundancia.
3.	Dejamos reposar unos 40 minutos para que suelten parte de su agua y que no queden tan amargas.
4.	Pasamos las rodajas por agua fría y las escurrimos muy bien ayudados por papel absorbente.
5.	En una sartén echamos aceite de oliva virgen extra y cuando empiece a calentarse añadimos las berenjenas.
6.	Freímos hasta que queden doradas. Pasamos a un plato con papel absorbente para quitarle el aceite sobrante.
7.	Es importante que cuando las friamos no haya demasiado aceite en la sartén porque entonces quedaran muy duras y no nos interesa. Apartamos hasta el montaje final.
8.	Escaldamos los tomates y una vez sin piel los picamos en trozos grandes.
9.	Cortamos las 2 cebollas y los dientes de ajo lo más fino posible. Salpimentamos la carne. Apartamos los ingredientes cada uno en un plato.

Preparación de la musaka griega
1.	En otra cazuela echamos aceite (3 cucharadas) y introducimos las cebollas y el ajo.
2.	Luego echamos la carne picada a la cazuela 
3.	Añadimos un poco de menta, perejil picado y una cucharada de canela molida.
4.	Sofreímos durante 5 minutos a fuego suave, sin dejar de remover.
5.	Añadimos el tomate y un chorrito de vino blanco, dejamos que se reduzca todo hasta que nos quede una salsa compacta. Aproximadamente unos 15 minutos.
6.	Mientras preparamos la salsa blanca.

Horneado y presentación final de moussaka
1.	Precalentamos el horno a 180º C unos 10 minutos antes de hornear la musaka.
2.	Engrasamos el fondo de la fuente con un poco del aceite sobrante de freír la berenjena y una capa de rodajas de berenjena.
3.	Encima una capa de la mezcla con la carne, la siguiente de bechamel y repetimos hasta tener 2 pisos. Finalmente rematamos con bechamel (bastante). 
4.	Colocamos tiritas de mozarela y la última capa de queso rallado para gratinar.
5.	Introducimos al horno en la bandeja del medio unos 20 minutos a 180º C y 5 minutos con el gratinador puesto para que se dore.";6,00;2;15;4;;2
819;"Berenjenas al horno gratinadas";"Paso 1
Pelar las berenjenas. Cortarlas en rodajas y colocarlas en un colador con un poco de sal gruesa. Dejar reposar 30 minutos, con un peso arriba.

Paso 2
Pelar las papas y cebollas y cortarlas en rodajas finas. Pelar los tomates y cortarlos en rodajas gruesas. Dividir los morrones en tiras. Pelar y picar los ajos.

Paso 3
En una fuente profunda, disponer una base de berenjenas, salpimentar y esparcir un poco de tomillo. Luego, formar una capa de papas, una de cebolla, otra de berenjenas y volver a condimentar. Cubrir con una de tomate, una de pimiento y ajo picado. Condimentar nuevamente. Repetir las capas hasta completar la fuente.

Paso 4
Picar los tomates en lata, mezclarlos con el caldo, el vino y el aceite. Volcar sobre los vegetales y cubrir con bastante mozzarella rallada.

Paso 5
Hornear tapado 20 minutos, hasta que todos los vegetales estén cocidos. Destapar, agregar el parmesano y gratinar.";8,00;2;6;4;;2
820;"Pan Lactal (Vallejos)";"Fermento:
Desgranar la levadura a temperatura ambiente con 100c de agua tibia, añadir 1 cucharadita de azúcar y 2 cucharadas de harina 000. Mezclar con un batidor de alambre. Cubrir con una bolsa de plástico y dejar fermentar 15m.

Para hacer la masa:
Colocar en un bol la harina, la sal y el azúcar. Mezclar, hacer un hueco en el centro y colocar allí la leche tibia, la crema, el extracto de malta y el fermento.
Unir de a poco integrando la harina de los costados. Por último, adicionar la manteca blanda. 
Volcar la preparación sobre la mesa apenas enharinada y amasar hasta que resulte una masa suave y homogénea. Cubrir con polietileno y dejar descansar 30 minutos.
Dividir la masa en dos partes y enrollar, presionando bien para que no quede aire en su interior.
Disponer en moldes de 30cm de largo, enmantecados. Cubrir con polietileno y dejar puntear al doble.
Precalentar el horno a 180ºC.
Llevar los panes al horno y cocinar durante 40m.
Una vez cocidos, desmoldar y dejar enfriar sobre una rejilla.";2,00;7;9;3;"Al sacarlos del horno pueden pincelarse con manteca.";3
821;"Sopa de apio";"Ponemos agua a cocer, y añadimos el apio que debe cocer 10 minutos. 
Ponemos un reloj de cocina para que nos avise, y cuando lleven cinco minutos cociendo añadimos los guisantes.
Por otro lado picamos la cebolla y los ajos. 
Preparamos una sartén con aceite de oliva virgen y sofreímos la cebolla y los ajos durante dos minutos.
Cuando las verduras estén cocidas las escurrimos y cortamos en trocitos. 
Las añadimos a la sartén y rehogamos en aceite de oliva durante dos minutos. 
Verter en un recipiente apto para batidora  las verduras y añadir la mitad del caldo de verduras, triturar hasta lograr una crema. 
Luego añadir la otra mitad de caldo y la leche. Triturar de nuevo y sazonar con sal y pimienta.";4,00;19;9;3;;2
822;"Txantxigorri";"Pica finamente el txantxigorri y resérvalo.
Mezcla la levadura seca de panadero y el agua. 
Ve añadiendo la harina poco a poco y amasa bien. Haz una bola, cúbrela con un trapo y deja que repose durante 2 horas. 
Agrega 1/2 cucharadita de canela en polvo, el azúcar, el txantxigorri y una pizca de sal. 
Mezcla bien y amásala.

Estira la masa y forma las tortas (puedes cortarlas con un cortapastas redondo). 
Colócalas sobre la placa del horno cubierta con papel de hornear. 
Deja que reposen durante 15 minutos.

Bate un huevo y píntalas por la parte superior. 
Hornéalas a 150ºC durante 20 minutos.

Deja que se templen y espolvoréalos con una mezcla de azúcar glas y canela.
Adorna con unas hojas de menta y sirve templados.";15,00;7;31;3;;3
823;"Sukalki";"01: Marcamos el osobuco
Limpiamos bien la pieza de osobuco de la telilla de grasa y membrana que la recubre. Cortamos en trozos bastante grandes, de por lo menos 4-5 cm de lado y los salpimentamos.
Disponemos una cazuela ancha cuyo volumen sea lo suficientemente amplio para contener nuestro guiso y la llevamos a un fuego intenso. Añadimos al fondo de la olla un buen chorro de aceite de oliva e incorporamos los trozos de zancarrón. Cuando queráis marcar una carne no debéis removerla constantemente, sino dejar que se churrusque tranquilamente por una cara, tras lo cual solo deberéis dar la vuelta a cada trozo y dejar que se sellen por la otra parte.
Cuando esté bien marcada la carne y haya cogido un tono tostado por todo su contorno, retiramos del fuego y reservamos en un plato u otro recipiente.

02: Cortamos y sofreímos la verdura
El fondo de la cazuela habrá adquirido todos los caramelizados de la carne. Cocinaremos la verdura que forma la base del guiso en la misma cazuela para que esta, al cocinarse y perder su propia agua, ablande y disuelva esos caramelizados en el sofrito, yendo a parar todo ese intenso sabor a nuestra salsa.
Eso sí, como hemos marcado la carne en abundante aceite, debemos retirar el exceso y dejar solo la grasa necesaria para sofreír la verdura. El resto la desechamos.
Limpiamos las verduras. Troceamos el pimiento, las cebollas, el puerro y una de las zanahorias en mirepoix, esto es, en trozos pequeños de 1-2 cm de lado.
Añadimos toda la verdura picada al fondo de la cazuela donde hemos marcado el zancarrón y sudamos en ella la verdura, muy poco a poco. Los caramelizados del fondo poco a poco comenzarán a soltarse y a mezclarse con el fondo de verdura mientras esta se cocina lentamente. Es importante no apurar este paso.

03: Añadimos los alcoholes y volvemos a incorporar el zancarrón
Cuando la base de verduras esté muy pochada y concentrada, es el momento de incorporar los alcoholes. Añadimos el cognac, dejamos reducir unos instantes y añadimos el vino blanco. Mezclamos con la verdura y evaporamos completamente el alcohol hasta que el sofrito esté prácticamente seco de nuevo.
Cuando el alcohol haya evaporado, añadimos al sofrito la pulpa de pimiento choricero y el tomate concentrado. Mezclamos bien y cocinamos unos minutos junto con el sofrito.
Volvemos a incorporar el zancarrón a la cazuela y mojamos con el agua o caldo, cubriendo por completo la carne.
Tapamos la cazuela y cocinamos delicadamente,  a un chup-chup lento, durante por lo menos 3 horas. Como siempre, lo mejor es comprobar el punto de la carne, pinchándola con el cuchillo y comprobando que esté perfectamente tierna.

04: Doramos las patatas
Pelamos la patata y la cortamos en trozos grandes. Los sumergimos en agua para que pierdan parte de la fécula y los escurrimos bien para que al agua no haga que el aceite nos salte durante la fritura.
Freímos las patatas ya secas a fuego medio-alto durante unos 5-8 minutos, de modo que se frían parcialmente por la capa externa pero permanezcan crudas en su interior. Escurrimos las patatas del exceso de grasa en un papel absorbente.

05: Trituramos la salsa y añadimos las patatas y la zanahoria en rodajas
Acabada la cocción del zancarrón, retiramos los trozos de carne del sukalki y los reservamos.
Antes de triturar la salsa podemos aprovechar a desgrasarla con un cacillo si lo consideramos necesario. Trituramos la salsa con una batidora hasta que quede bien fina y lisa (podéis colarla si queréis que os quede totalmente pulida).
Volvemos a añadir la salsa ya a punto a la cazuela y reincorporamos los trozos de zancarrón. Añadimos también la patata que hemos frito parcialmente y la zanahoria restante, cortada en rodajas muy finas que permitan que se cocine en los 20 minutos aproximadamente que necesitará la patata para terminar de cocinarse por dentro.
Terminamos de cocinar nuestro sukalki a fuego suave

06: Por último, añadimos los guisantes y emplatamos nuestro sukalki de ternera
Unos 10 minutos antes de que acabe la cocción de la patata y la zanahoria, añadimos los guisantes frescos. Si son tan tiernos como los que yo he usado, esos 10 minutos será tiempo más que suficiente para que se cocinen, pero si son más grandes y fibrosos podéis añadirlos durante el paso anterior.
Rectificamos de sazón y servimos nuestro sukalki bien caliente y con una buena barra de pan al lado, porque este guiso es un plato de esos en los que mojar pan en él es algo así como una obligación.";2,00;2;31;4;;2
824;"Pan 100% integral";"Desgranar la levadura en el agua tibia y mezclar hasta que se disuelva.
Dejar reposar 5 minutos.
En un recipiente mezclar la harina integral con la sal.
Añadir el aceite al agua luego de dejarla reposar.
Añadir el líquido a la harina y mezclar, primero con cuchara y luego amasar dentro del recipiente a mano hasta que tome consistencia pareja. Queda pegajoa y poco elástica.
Tapar y dejar reposar 15 minutos.
Volver a amasar un poco, apenas unos minutos. Tapar y dejar reposar otros 15 minutos.
Nuevamente, amasar un poco, apenas unos minutos. Tapar y dejar reposar otros 15 minutos.
Otra vez más lo mismo. Debe reposar 4 veces.
Enharinar un poco la mesada. Volcar la masa, sin amasarla, y cortarla por la mitad (si usamos 1k de harina)
espolvorear ligeramente la masa con harina y estirarla con palo o a mano. 
Darle forma rectangular, del ancho del molde donde vamos a colocarla.
Enrollarla. 
Aceitar o enmantecar el molde (puede ir sobre una asadera dandole forma de pan alargado)
Colocar en el molde con el cierre de la masa hacia abajo.
Dejar reposar hasta que su volumen crezca unas 2,5 veces. Pueden ser 1 o 2 horas.
Precalentar el horno a 200 grados.
Pintar la superficie del pan con aceite.
Colocar en el horno y bajar a 180 grados.
Hornear unos 40 minutos.
Sacar del horno. Desmoldar sobre una rejilla.
Es importante no dejarlo en el molde para que no se humedezca.
Listo";2,00;7;9;2;;3
825;"Queso vegano de papa y zanahoria";"Echa la patata y la zanahoria en una olla con agua hirviendo y cuécelas durante unos 20 minutos o hasta que estén tiernas. 
Cuélalas y échalas en una batidora de vaso junto con el resto de ingredientes y bate hasta obtener una textura cremosa y sin grumos.
Sirve inmediatamente con nachos, crudités o utilízalo como sustituto del queso para pizzas, hamburguesas, etc. 
Puedes guardar las sobras en la nevera durante unos 4-5 días o congelarlo.";0,20;27;32;2;;4
826;"Solomillo de cerdo con glaseado de naranja";"1 - Ayudándonos de un cuchillo bien afilado, comenzamos limpiando los solomillos de cualquier resto de grasa que pudiesen tener y los salpimentamos.
2 - Cubrimos el fondo de la skillet de Le Creuset con aceite de oliva y la ponemos a calentar a fuego medio.
3 - Cuando la skillet esté bien caliente añadimos los solomillos para sellarlos por todos los lados (incluidos los extremos) hasta que estén dorados
4 - Con ayuda de unas pinzas retiramos los solomillos a un plato y reservamos.
5 - Pelamos los dientes de ajo, los cortamos en láminas y los sofreímos a fuego bajo en el mismo aceite donde sellamos los solomillos.
6 - Una vez que los ajos estén dorados, añadimos a la skillet el zumo de naranja, la salsa de soja y la miel y dejamos a fuego medio unos 5 minutos hasta que la salsa espese ligeramente.
7 - Cuando la salsa haya espesado un poco, devolvemos los solomillos a la skillet (incluido el jugo que hayan soltado en el plato).
8 - Dejamos cocer unos 10 ó 15 minutos (dependiendo del punto de cocción que queramos para el solomillo) dándole la vuelta al solomillo a la mitad de la cocción.
9 - Transcurrido este tiempo, si la salsa estuviese aún demasiado líquida, retiramos los solomillos de la skillet y dejamos cocer a fuego medio-alto hasta obtener el espesor deseado.
10 - Cortamos el solomillo en medallones, devolvemos a la skillet y mantenemos al fuego un par de minutos más.
11 - Servimos bien caliente";8,00;15;9;3;;2
827;"Cáscara de sandía salada";"Quitar la parte verde. Dejar sólo el blanco de la cáscara.
Picar en cuadraditos de 1cm de lado y unos 3mm de espesor.
Poner en remojo cubiertas de agua y con la sal. Dejar toda la noche.
Escurrir. Colocar en una cacerola cubierta con agua fría y cocer a fuego lento durante 30 minutos. A continuación, Escurrir. 
Mezclar el azúcar, el vinagre, el limón, la rama de canela y el clavo de olor. Agergar 2 cucharadas de agua.
Hervir la mezcla durante al menos 10 minutos, a fin de lograr el jarabe. 
Agregar la cáscara de sandía y cocinar hasta que se vuelva transparente. (Se ve blancuzca, sacarla una del fuego y esperar un ratito y ver si se transparenta)
Póner en frascos.";2,00;8;23;2;"Ideal para acompañar con quesos";8
828;"Hígado encebollado";"Cortamos la cebolla en aros más bien finos. Los pochamos a fuego más bien bajo en una sartén con abundante aceite de oliva virgen extra. Escurrimos bien y reservamos mientras hacemos el hígado.

Cortamos los filetes de hígado en trozos irregulares del tamaño que nos convenga. Los untamos con el diente de ajo pelado y abierto a la mitad. Salamos y rebozamos en pan rallado. También podemos hacer un majado de perejil y ajo y untar los filetes si queremos darles más sabor.

Los freímos en aceite de oliva, escurrimos y colocamos en una cazuela. Echamos la cebolla pochada por encima y rehogamos el conjunto durante tres minutos. Servimos inmediatamente.";2,00;15;4;3;"Esta receta de hígado encebollado hay que prepararla al momento, cuando vayamos a consumirla. Como mucho podemos tener la cebolla pochada con antelación, aunque como no cuesta nada de trabajo normalmente lo hago todo a la vez.";2
